Week,Deaths,Vaccinations
1,0,0
2,1,0
3,0,0
4,0,0
5,0,0
6,0,0
7,1,0
8,0,33876
9,0,46305
10,1,68497
11,0,99344
12,0,209515
13,1,319913
14,0,283058
15,2,362212
16,0,418577
17,0,320277
18,0,378056
19,0,426214
20,0,487454
21,0,564494
22,0,754267
23,0,834266
24,0,725616
25,0,777468
26,0,803702
27,2,891913
28,5,949433
29,5,1047231
30,7,1168060
31,16,1284791
32,27,1486978
33,22,1701474
34,20,1878958
35,52,1926848
36,56,1831208
37,77,1916494
38,95,2020624
39,110,1970335
40,119,1882443
41,105,2000047
42,108,1776454
43,112,1485145
44,97,1226497
45,66,1007361
46,81,840552
47,56,686976
48,52,573039
49,36,539372
50,54,849891
51,69,1085450
52,103,431055
